Address,ChildListingUrl,ChildListings,Description,DispensaryName,Email,Facebook,Friday,Instagram,ListingUrl,Listings,Monday,Phone,Saturday,State,StoreUrl,Sunday,Thursday,Tuesday,Twitter,Type,Website,Wednesday,latitude,longitude
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/r-greenleaf-westside,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/shift-new-mexico-2,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/sacred-garden-san-mateo-blvd,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/shift-new-mexico-jefferson,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/r-greenleaf-north-coors,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/medzen-services-inc-2,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/albuquerque-nob-hill-birdland,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/ultra-health-albuquerque-n-e,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/cannaceutics-inc-albuquerque,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/everest-apothecary-1,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/minerva-canna-group,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/ultra-health-albuquerque-north-valley,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/ohio-provision-bcco,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/ultra-health-westside,,,,,,,,,
